AreaSize,ID,Sex,Japanese,Math,Science
,1099,2,58,58,32
,1100,1,55,56,48
,1101,2,67,53,68
,1102,2,88,67,60
,1103,2,61,33,36
,1104,2,73,64,52
,1105,2,88,75,72
,1106,2,61,31,28
,1107,2,91,61,52
,1108,1,97,89,92
,1109,1,73,50,60
,1110,1,91,86,80
,1111,2,30,22,20
,1112,2,58,56,52
,1113,2,82,58,64
,1114,2,82,72,76
,1115,1,82,86,84
,1116,1,82,83,84
,1117,2,67,47,56
,1118,2,48,33,64
,1119,2,73,75,60
,1120,1,76,61,60
,1121,1,82,69,76
,1122,1,70,58,68
,1123,2,73,67,60
,1124,1,85,78,60
,1125,2,97,83,84
,1126,1,73,47,40
,1127,2,94,78,44
,1128,2,73,67,40
,1129,2,67,83,52
,1130,2,94,100,84
,1131,1,79,67,40
,1132,1,82,47,60
,1133,1,82,64,40
,1134,1,52,39,44
,1135,2,85,58,52
,1136,2,82,64,72
,1137,2,73,56,56
,1138,2,67,56,44
,1139,1,73,50,44
,1140,1,79,39,52
,1141,2,97,75,68
,1142,2,82,89,72
,1143,1,85,83,68
,1144,1,88,61,40
,1145,2,88,97,84
,1146,1,70,53,60
,1147,1,88,94,80
,1148,2,79,69,52
,1149,1,82,83,80
,1150,1,88,94,88
,1151,2,58,64,20
,1152,1,52,64,44
,1153,1,76,75,48
,1154,2,76,61,56
,1155,2,82,67,56
,1156,2,70,67,48
,1157,2,79,81,60
,1158,2,70,39,48
,1159,1,67,42,16
,1160,1,64,25,36
,1161,1,42,33,12
,1162,1,88,58,60
,1163,2,70,58,36
,1164,2,79,61,52
,1165,2,94,61,56
,1166,2,48,36,8
,1167,2,88,86,72
,1168,2,36,28,20
,1169,1,94,78,76
,1170,2,73,33,36
,1171,2,88,53,40
,1172,1,64,78,60
,1173,2,82,81,60
,1174,1,55,75,36
,1175,1,64,69,64
,1176,2,76,64,48
,1177,1,73,69,40
,1178,1,45,69,56
,1179,2,97,92,80
,1180,2,58,42,20
,1181,1,61,47,28
,1182,1,67,56,32
,1183,2,88,75,44
,1184,2,88,86,76
,1185,1,79,81,52
